churn,age,deposits,withdrawal,purchases_partners,cc_taken,cc_recommended,cc_disliked,cc_liked,cc_application_begin,app_downloaded,web_user,ios_user,android_user,registered_phones,waiting_4_loan,cancelled_loan,received_loan,rejected_loan,left_for_two_month_plus,left_for_one_month,reward_rate,is_referred,housing_O,housing_R,payment_type_Bi-Weekly,payment_type_Monthly,payment_type_Semi-Monthly,payment_type_Weekly
1,52,0,0,0,0,74,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1.3,0,0,0,1,0,0,0
1,25,0,0,0,0,32,0,0,7,1,0,0,1,0,0,0,0,0,0,0,0.47,0,0,0,0,1,0,0
1,22,0,0,0,1,67,1,0,5,1,0,1,0,0,0,0,0,0,0,0,0.9,0,0,0,1,0,0,0
0,38,0,0,27,0,30,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0,29,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.25,0,0,0,0,1,0,0
0,25,0,0,3,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.14,0,0,0,1,0,0,0
1,36,0,0,83,0,153,0,0,15,1,1,1,0,0,0,0,0,0,0,0,0.97,1,0,0,1,0,0,0
0,38,0,0,11,0,28,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.27,0,0,0,1,0,0,0
0,45,48,0,76,0,204,0,0,58,1,1,0,1,0,0,0,0,0,0,0,1.93,1,0,1,0,0,0,1
0,24,0,0,2,0,4,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0.03,0,0,0,0,1,0,0
1,31,0,0,0,0,63,0,0,2,1,1,1,0,2,0,0,0,0,1,0,0.7,0,0,0,0,0,0,1
0,45,0,0,0,0,170,0,0,16,1,1,0,1,0,0,0,0,0,0,0,1.97,0,0,1,1,0,0,0
0,28,0,0,0,0,207,0,0,4,1,1,0,1,0,0,0,0,0,0,0,2.17,0,0,1,1,0,0,0
0,24,0,0,37,0,60,0,0,4,1,1,0,1,2,0,0,0,0,0,0,0.77,1,0,0,1,0,0,0
1,42,0,0,0,0,5,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0.23,0,0,0,0,0,0,0
0,27,0,0,0,2,206,0,0,22,1,1,0,1,0,0,0,0,0,0,0,2.23,0,0,1,0,0,0,0
0,26,0,0,57,0,154,0,0,2,1,1,0,1,0,0,0,1,0,1,0,1.3,1,0,1,1,0,0,0
0,25,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,32,0,0,87,0,112,0,0,8,1,1,0,1,0,0,0,0,0,1,0,1.23,1,0,1,1,0,0,0
0,21,1,0,26,0,133,0,0,6,1,1,0,1,0,0,0,0,0,0,0,1.27,1,0,0,0,0,0,0
0,33,0,0,68,0,169,0,0,8,1,1,1,0,0,0,0,0,0,0,0,1.6,0,0,0,1,0,0,0
1,38,12,2,79,0,105,0,0,12,1,1,1,0,4,0,0,0,0,0,0,1.23,1,0,1,0,0,0,0
0,29,2,0,57,0,185,0,0,5,1,0,0,1,0,0,0,0,0,0,0,1.53,1,0,1,1,0,0,0
0,43,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.07,0,0,0,1,0,0,0
0,33,0,0,24,0,24,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0.37,0,0,0,1,0,0,0
1,24,3,0,56,0,93,0,0,8,1,1,0,1,0,0,0,0,0,0,0,0.83,0,0,1,1,0,0,0
0,25,0,0,10,0,20,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.2,1,0,0,0,0,0,1
1,19,0,0,1,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,40,0,0,22,0,40,0,0,2,1,1,0,1,0,0,1,0,0,0,0,0.57,1,0,0,0,0,0,1
1,22,0,0,0,0,11,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0.07,1,0,0,1,0,0,0
0,36,0,0,24,0,69,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.62,0,0,0,1,0,0,0
0,27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,48,33,0,16,0,185,0,0,14,1,1,1,0,2,0,0,0,0,0,0,1.57,0,1,0,1,0,0,0
1,39,0,0,8,0,23,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0.13,0,0,0,1,0,0,0
0,32,0,0,59,2,289,0,0,14,1,1,1,0,0,0,0,0,0,0,0,2.23,1,0,1,0,0,0,0
0,25,0,0,2,0,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.07,0,0,0,0,1,0,0
0,49,5,1,19,0,35,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0.69,1,0,0,1,0,0,0
1,25,14,5,23,0,43,0,0,11,1,0,1,0,0,0,0,0,0,0,0,0.37,1,0,0,1,0,0,0
0,21,11,2,53,0,145,0,0,11,1,0,0,1,0,0,0,0,0,0,0,0.93,0,0,1,1,0,0,0
1,30,1,1,48,0,224,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1.77,1,1,0,1,0,0,0
0,26,0,0,0,0,57,0,0,5,1,1,1,0,0,0,0,0,0,0,0,0.97,0,1,0,0,0,0,0
0,33,0,0,116,0,205,0,0,7,1,1,1,0,0,0,0,0,0,0,0,2.03,1,0,1,1,0,0,0
1,30,0,0,0,0,16,0,0,1,1,1,1,0,2,0,0,0,0,0,1,0.47,0,0,0,1,0,0,0
1,42,0,0,5,0,50,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.47,0,0,1,0,0,0,0
1,20,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.07,0,0,0,1,0,0,0
1,34,0,0,0,0,27,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.67,0,0,0,0,0,0,1
0,26,10,0,37,0,77,0,0,4,1,0,1,1,5,0,0,0,0,0,0,0.67,1,0,1,0,0,1,0
0,31,8,3,51,0,101,0,0,7,1,0,0,1,0,0,0,0,0,0,0,0.81,1,0,0,1,0,0,0
0,29,0,0,7,0,12,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.46,0,0,0,1,0,0,0
0,30,13,0,89,0,257,0,0,44,1,1,0,1,0,0,0,0,0,0,0,2.17,0,0,1,1,0,0,0
0,20,3,0,63,0,107,0,0,6,1,0,0,1,0,0,0,0,0,0,0,1.23,0,0,1,1,0,0,0
1,23,0,0,0,0,145,1,0,19,1,1,0,1,0,0,0,0,0,0,0,1.7,0,0,0,1,0,0,0
1,22,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,48,0,0,0,0,187,0,0,11,1,0,1,0,0,0,0,0,0,0,0,1.87,1,0,0,0,1,0,0
1,35,0,0,0,0,36,0,0,15,1,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0
0,46,7,2,57,0,168,0,0,24,1,1,0,1,0,0,0,0,0,1,0,1.1,0,0,1,1,0,0,0
0,34,0,0,0,1,222,9,0,24,1,1,1,0,0,0,0,0,0,0,0,2.1,0,0,1,1,0,0,0
0,23,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.06,0,0,0,1,0,0,0
0,28,17,1,82,0,233,0,0,18,1,1,0,1,0,0,0,0,0,0,0,1.93,0,0,1,0,0,0,0
1,29,0,0,0,0,106,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,1
0,43,3,0,81,0,225,0,0,4,1,1,1,1,2,0,0,0,0,0,0,1.97,1,0,1,0,0,0,0
0,44,0,0,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.1,0,0,0,1,0,0,0
0,33,0,0,140,0,303,0,0,20,1,1,0,1,0,0,0,0,0,1,0,2.23,0,0,1,1,0,0,0
0,18,0,0,0,0,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,22,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,60,0,0,0,0,44,0,0,18,1,1,1,0,0,0,0,0,0,0,0,0.63,1,0,1,0,1,0,0
0,39,24,1,69,0,218,0,0,29,1,1,0,1,0,0,0,0,0,0,0,1.87,1,0,0,0,0,0,0
1,35,0,0,0,0,66,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0.63,0,0,0,1,0,0,0
0,43,2,1,10,0,21,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,32,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,26,0,0,36,0,99,0,0,3,1,1,0,1,0,0,0,0,0,0,0,1.23,0,0,0,0,0,0,0
1,26,1,0,27,0,133,0,0,3,1,0,0,1,3,0,0,0,0,0,0,1.33,0,0,1,0,0,0,1
0,24,3,1,82,0,177,0,0,13,1,0,0,1,0,0,0,0,0,0,0,1.87,0,0,1,1,0,0,0
1,31,0,0,0,0,115,0,0,5,1,1,1,0,0,0,0,0,0,1,0,1.17,0,0,1,1,0,0,0
1,25,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,38,0,0,0,0,17,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0.4,1,0,0,1,0,0,0
0,32,3,0,7,0,10,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.57,0,0,0,1,0,0,0
0,33,0,0,128,0,269,0,0,4,1,1,0,1,0,0,0,0,0,1,0,1.97,0,0,0,1,0,0,0
0,32,24,6,36,0,116,0,0,21,1,1,1,1,2,0,0,0,0,0,0,0.97,1,0,1,1,0,0,0
0,47,0,0,1,0,4,0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
0,26,1,0,56,0,217,0,0,15,1,0,0,1,2,0,0,0,0,0,0,1.8,1,0,1,0,0,0,0
1,26,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,26,0,0,31,0,50,0,0,5,1,0,1,0,2,0,0,0,0,0,0,0.67,1,0,0,1,0,0,0
0,33,0,0,32,0,60,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0.8,1,0,0,1,0,0,0
1,35,0,0,102,0,136,0,0,8,1,1,1,0,0,0,0,0,0,0,0,1.17,1,0,0,1,0,0,0
1,22,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,27,0,0,10,0,91,0,0,7,1,1,0,1,0,0,0,0,0,0,0,0.8,0,0,1,1,0,0,0
0,27,0,0,7,0,11,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.2,0,0,0,1,0,0,0
0,24,2,2,50,0,100,0,0,4,1,0,0,1,0,0,0,0,0,0,0,1.03,1,0,1,0,0,0,0
0,21,0,0,7,0,11,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
0,25,2,0,22,0,15,0,0,2,1,1,0,1,2,0,0,0,0,1,0,0.27,1,0,1,1,0,0,0
1,26,10,1,14,0,40,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0.4,0,0,1,0,0,0,0
0,27,0,0,1,0,83,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1.1,1,0,1,0,0,0,1
0,42,0,0,0,0,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,22,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,22,9,2,107,0,170,0,0,32,1,1,0,1,0,0,0,0,0,0,0,1.3,1,0,1,1,0,0,0
1,36,0,0,0,2,23,0,0,2,1,1,1,0,2,0,0,0,0,0,0,0.7,0,0,0,0,0,0,1
0,52,0,0,40,0,70,0,0,6,1,1,1,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,1,0
1,27,0,0,12,0,26,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0.44,0,0,0,0,0,0,1
0,25,0,0,25,0,41,0,0,4,1,1,0,1,0,0,0,0,0,0,0,0.4,1,0,0,0,0,0,0
0,32,0,0,23,0,50,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0.37,0,0,0,1,0,0,0
0,30,41,0,27,0,207,0,0,4,1,1,0,1,0,0,0,0,0,0,0,1.87,1,0,0,0,0,0,1
1,23,6,4,59,0,159,0,0,11,1,1,0,1,2,0,0,0,0,0,0,1.86,1,0,1,1,0,0,0
0,26,5,1,93,0,252,0,0,11,1,0,0,1,0,0,0,0,0,0,0,2.17,1,0,1,0,0,0,0
1,29,0,0,0,0,177,1,0,28,1,0,0,1,0,0,0,0,0,0,0,1.7,0,0,1,0,0,0,1
0,36,0,0,2,0,17,0,0,2,1,0,0,1,2,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0
1,26,3,0,38,0,84,0,0,7,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
0,20,1,0,72,0,140,0,0,18,1,1,0,1,0,0,0,0,0,0,0,1.03,1,0,1,1,0,0,0
0,32,6,0,24,0,45,0,0,9,1,1,0,1,0,0,0,0,0,0,0,0.58,0,0,0,0,0,0,0
1,45,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0.1,0,0,1,1,0,0,0
0,25,0,0,67,0,250,0,0,10,1,1,0,1,0,0,0,0,0,1,0,2.03,0,1,0,1,0,0,0
0,35,15,0,3,1,300,0,0,34,1,1,0,1,0,0,0,0,0,0,0,2.17,0,0,1,1,0,0,0
0,28,0,0,90,0,195,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1.83,1,1,0,0,0,1,0
1,22,0,0,0,0,128,0,0,4,1,1,1,0,2,0,0,1,0,0,0,1.57,0,0,0,1,0,0,0
0,28,59,0,63,0,255,0,0,21,1,1,0,1,0,0,0,0,0,0,0,2.23,0,0,0,1,0,0,0
0,20,0,0,5,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.27,1,0,0,0,0,1,0
1,30,0,0,34,0,59,0,0,2,1,0,0,1,2,0,0,0,0,0,0,0.63,1,0,1,0,0,0,1
0,40,8,0,52,0,294,0,0,38,1,1,1,0,0,0,0,0,0,1,0,2.23,0,1,0,0,0,0,0
0,31,0,0,0,0,104,0,0,5,1,0,0,1,0,0,0,0,0,0,0,1.4,0,1,0,1,0,0,0
1,27,1,0,13,0,27,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.17,1,1,0,1,0,0,0
1,36,0,0,0,0,235,0,1,9,1,1,1,1,2,0,0,0,0,0,0,2.13,0,0,1,1,0,0,0
0,36,0,0,8,0,16,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0.13,0,0,1,1,0,0,0
1,30,2,0,62,0,99,0,0,16,1,1,1,0,0,0,0,0,0,0,0,0.63,1,0,1,1,0,0,0
0,42,2,0,47,0,280,0,0,24,1,1,1,0,2,0,0,0,0,1,0,1.87,1,0,1,0,0,0,0
0,72,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,23,0,0,12,0,11,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0.4,1,0,0,1,0,0,0
1,39,8,3,76,0,163,0,0,12,1,0,1,0,0,0,0,0,0,0,0,0.53,1,0,1,0,0,0,1
1,38,0,0,0,0,20,0,0,9,1,1,1,0,0,0,0,0,0,0,0,0.77,0,0,1,0,1,0,0
1,38,0,0,0,0,22,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.57,0,0,0,1,0,0,0
0,37,0,0,0,1,236,4,1,19,1,1,1,1,2,0,0,0,0,0,0,2.1,0,0,1,1,0,0,0
1,26,0,0,0,0,38,0,0,5,1,0,0,1,0,0,0,0,0,1,0,0.47,0,0,0,1,0,0,0
0,20,0,0,47,0,148,0,0,11,1,0,0,1,0,0,0,0,0,0,0,1.13,0,0,0,1,0,0,0
1,56,1,0,37,0,81,0,0,5,1,1,1,0,2,0,0,0,0,1,0,0.53,1,0,0,0,0,0,1
1,29,11,2,99,0,191,0,0,11,1,1,1,0,2,0,0,0,0,0,0,1.03,0,0,0,0,0,0,0
0,19,1,0,102,0,219,0,0,9,1,1,1,1,5,0,0,0,0,0,0,1.93,1,0,1,0,0,0,0
1,48,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,39,2,0,1,0,82,0,0,9,1,0,0,1,0,0,0,0,0,1,0,0.47,1,0,0,1,0,0,0
1,54,0,0,0,1,11,0,0,7,1,1,1,0,2,0,0,0,0,0,0,2,0,1,0,0,1,0,0
0,39,0,0,7,0,36,0,0,9,1,1,1,0,0,0,0,0,0,0,0,0.73,0,0,0,1,0,0,0
0,24,0,0,35,0,57,0,0,2,1,0,1,0,3,0,0,0,0,1,0,0.83,0,0,0,1,0,0,0
1,39,0,0,0,0,201,0,0,5,1,0,1,0,0,0,0,0,0,0,0,2.5,0,0,0,1,0,0,0
0,29,7,2,52,0,71,0,0,12,1,1,0,1,0,0,0,0,0,1,0,0.73,0,0,1,0,0,1,0
0,21,0,0,0,0,54,0,0,5,1,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0
1,48,0,0,0,0,82,0,0,6,1,1,1,0,0,0,0,0,0,1,0,1.3,1,0,1,1,0,0,0
1,32,0,0,0,0,134,0,0,4,1,1,0,1,0,0,0,0,0,0,0,1.37,0,0,1,0,0,0,0
1,41,0,0,0,0,55,0,0,9,1,1,1,0,2,0,0,0,0,0,0,0.8,0,0,1,1,0,0,0
1,42,21,3,31,0,60,0,0,15,1,1,1,1,2,0,0,0,0,0,0,0.8,1,0,1,0,0,0,1
0,29,0,0,0,0,180,0,0,16,1,1,1,0,0,0,0,1,0,0,0,2.27,0,1,0,0,0,0,1
0,21,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,25,0,0,27,0,65,0,0,1,1,1,0,1,2,0,0,0,0,1,0,0.57,1,0,0,1,0,0,0
1,39,12,1,8,2,147,65,0,24,1,1,1,0,0,0,0,0,0,0,0,1.47,1,0,1,0,0,0,1
0,40,3,0,148,0,269,0,0,17,1,0,1,0,0,0,0,0,0,0,0,2.13,0,0,1,0,0,0,1
0,22,6,1,198,0,301,0,0,61,1,1,0,1,0,0,0,0,0,1,0,2.17,0,0,1,1,0,0,0
0,34,0,0,9,0,5,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0.13,0,0,0,0,0,1,0
0,21,0,0,5,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0.1,0,0,1,1,0,0,0
0,52,1,1,24,0,78,0,0,8,1,0,1,0,2,0,0,0,0,0,0,0.77,0,0,0,1,0,0,0
0,27,0,0,172,0,217,0,0,10,1,1,1,0,0,0,0,0,0,0,1,1.43,1,0,1,1,0,0,0
0,52,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,36,0,0,4,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0.13,0,0,0,1,0,0,0
0,23,2,0,15,0,10,0,0,4,1,0,0,1,3,0,0,0,0,0,0,0.1,0,0,0,0,1,0,0
1,28,8,0,20,0,51,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0.53,1,0,1,0,0,0,1
0,57,54,0,69,0,249,0,0,36,1,1,1,0,0,0,0,0,0,0,0,2.1,0,1,0,0,0,0,1
0,50,5,0,71,0,136,0,0,5,1,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0
1,29,1,1,12,0,31,0,0,4,1,1,1,0,3,0,0,0,0,1,0,0.07,0,0,0,0,0,0,1
1,37,4,0,17,0,145,0,0,11,1,0,1,0,0,0,0,1,0,0,0,1.4,0,1,0,1,0,0,0
1,30,16,1,69,0,151,0,0,8,1,1,0,1,0,0,0,0,0,0,0,1.3,1,0,1,0,0,0,0
0,22,0,0,0,0,6,0,0,2,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,42,0,0,42,0,179,0,0,14,1,1,0,1,0,0,0,0,0,1,0,1.43,1,0,1,0,0,0,1
1,25,16,3,23,0,76,0,0,14,1,0,0,1,0,0,0,0,0,0,0,0.57,1,0,1,0,0,0,0
1,22,0,0,0,0,111,0,0,11,1,1,0,1,0,0,0,0,0,0,0,1.3,0,0,0,1,0,0,0
1,48,0,0,12,0,22,0,0,2,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,39,0,0,6,0,128,0,0,1,1,0,0,1,2,0,0,0,0,0,0,1.53,0,0,0,0,0,0,0
0,43,0,0,0,0,109,0,0,10,1,1,0,1,3,0,0,0,0,0,0,1.5,0,1,0,0,0,1,0
0,33,49,4,56,0,263,0,0,7,1,1,0,1,0,0,0,0,0,0,1,1.9,0,1,0,1,0,0,0
0,35,1,0,70,0,260,0,0,20,1,1,0,1,2,0,0,0,0,0,0,2,1,0,1,1,0,0,0
0,26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,27,10,1,93,0,154,0,0,24,1,1,0,1,0,0,0,0,0,0,0,1.13,1,0,1,0,0,0,1
1,23,1,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
1,30,0,0,0,0,226,0,0,21,1,1,0,1,2,0,0,0,0,0,0,2.2,0,1,0,0,0,1,0
0,19,0,0,0,0,219,0,0,8,1,0,0,1,0,0,0,0,0,0,0,2.3,0,0,0,1,0,0,0
1,25,2,0,2,0,15,0,0,1,1,1,1,0,2,0,1,0,0,0,0,0.03,1,1,0,0,1,0,0
0,25,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,23,0,0,0,0,10,0,0,2,1,0,1,1,2,0,0,0,0,0,0,0.13,0,0,0,0,0,0,1
1,47,0,0,31,0,50,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0.6,0,0,1,0,0,0,1
1,43,0,0,0,0,73,0,0,13,1,1,0,1,2,0,0,0,0,0,0,1.2,0,0,0,1,0,0,0
0,26,6,0,10,0,5,0,0,3,1,1,0,1,0,0,0,0,0,1,0,0.4,0,0,0,0,1,0,0
0,24,6,0,163,0,290,0,0,44,1,1,0,1,0,0,0,0,0,1,0,2.23,0,0,1,0,0,0,0
0,20,0,0,5,0,15,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0.1,0,0,0,1,0,0,0
0,22,0,0,2,0,0,0,0,0,1,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1
1,26,0,0,10,0,17,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0.17,0,0,0,1,0,0,0
0,48,42,2,46,0,158,0,0,11,1,0,0,1,0,0,0,0,0,0,0,1.57,1,0,1,1,0,0,0
1,26,0,0,0,0,8,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0.33,0,0,0,0,0,0,0
0,26,0,0,0,2,206,0,0,22,1,1,0,1,0,0,0,0,0,0,0,2.23,0,0,1,0,0,0,0
0,32,10,0,0,1,192,0,0,9,1,0,1,0,0,0,0,0,0,0,0,1.63,1,0,1,1,0,0,0
1,46,1,0,2,0,3,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
1,21,0,0,1,0,5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,30,0,0,146,0,137,0,0,11,1,0,1,0,0,0,0,0,0,1,0,1.23,1,1,0,0,0,0,1
0,30,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,1,0
0,37,0,0,0,1,275,0,0,8,1,0,0,1,0,0,0,0,0,0,0,2.5,0,0,0,0,1,0,0
0,36,0,0,13,0,24,0,0,7,1,0,1,0,0,0,0,0,0,0,0,0.2,1,0,0,0,0,0,0
1,35,0,0,0,1,199,0,0,21,1,1,0,1,0,0,0,0,0,1,1,2.2,0,0,1,0,0,0,0
